subject,session,trial,class,paradigm,alpha_power,beta_power,gamma_power
S00_2class,session_0,0,0,2-class,2.8936223929336427,0.5555504098503095,0.18457424833615177
S00_2class,session_0,1,0,2-class,2.873639705527297,0.5230182111345067,0.18211543617041986
S00_2class,session_0,2,0,2-class,2.801695413301133,0.5203589673557992,0.1758538931033093
S00_2class,session_0,3,0,2-class,2.6657620683353276,0.542068108475208,0.17939160963533296
S00_2class,session_0,4,0,2-class,2.925082719468624,0.5703720122696683,0.19727961283610715
S00_2class,session_0,5,0,2-class,2.8150093722065193,0.5732433862368457,0.20153540297892283
S00_2class,session_0,6,0,2-class,2.8682248985398546,0.5446486358372388,0.18165365878070605
S00_2class,session_0,7,0,2-class,2.651969328827777,0.5407876000208126,0.1871632826895229
S00_2class,session_0,8,0,2-class,2.857415181267139,0.5567967399228543,0.19065563187029405
S00_2class,session_0,9,0,2-class,2.9517752019241845,0.5627914006314213,0.19318243781288272
S00_2class,session_0,10,0,2-class,2.837622937799863,0.5227025891146324,0.17229444814314557
S00_2class,session_0,11,0,2-class,2.9624488104817104,0.5689441035498214,0.19063881500194993
S00_2class,session_0,12,0,2-class,2.8538622568030645,0.5492865223215113,0.18679220004650765
S00_2class,session_0,13,0,2-class,2.8317160432401804,0.5507732566836762,0.19856643177758243
S00_2class,session_0,14,0,2-class,3.0295576021751507,0.5442328522632663,0.1734006010253411
S00_2class,session_0,15,0,2-class,2.9952263725250776,0.5537638625411678,0.1847113365629247
S00_2class,session_0,16,0,2-class,2.867434229376803,0.5515994274234495,0.19270184123311102
S00_2class,session_0,17,0,2-class,2.8920449450034025,0.5493944417302861,0.18458258666592448
S00_2class,session_0,18,0,2-class,2.798397667446671,0.5588949079963182,0.19215921007601322
S00_2class,session_0,19,0,2-class,2.936210528622203,0.5652149723875124,0.18927760931992366
S00_2class,session_0,20,0,2-class,2.9522686151358672,0.5671217936162415,0.19248018685092969
S00_2class,session_0,21,0,2-class,2.8494363161594793,0.5457917611757184,0.18384485789428956
S00_2class,session_0,22,0,2-class,2.9439300687348244,0.5484097882241259,0.1889937372310182
S00_2class,session_0,23,0,2-class,3.054352316047891,0.5235117100896111,0.18675241544084611
S00_2class,session_0,24,0,2-class,2.796636046998395,0.544535649402651,0.17892046286019353
S00_2class,session_0,25,0,2-class,2.761268096927742,0.5460442625509528,0.1996294040679675
S00_2class,session_0,26,0,2-class,2.9423135946986823,0.5488884424898497,0.1826525081470266
S00_2class,session_0,27,0,2-class,2.9092394088075753,0.5654120556386673,0.19685172755159233
S00_2class,session_0,28,0,2-class,3.0571723965189586,0.5542215864438921,0.18770328174600745
S00_2class,session_0,29,0,2-class,2.8244790416867067,0.5526538730478437,0.192328623387445
S00_2class,session_0,30,0,2-class,2.960162762443512,0.5572779377832286,0.18044833605826294
S00_2class,session_0,31,0,2-class,2.943083929024334,0.5475935446988074,0.18785239837118112
S00_2class,session_0,32,0,2-class,2.9845405234646827,0.5681691578688376,0.18517947101614723
S00_2class,session_0,33,0,2-class,2.8884238866590555,0.5378943039624723,0.18229108089686588
S00_2class,session_0,34,0,2-class,2.7757881435923637,0.5462630319520098,0.1892694682208022
S00_2class,session_0,35,0,2-class,2.7537038271049576,0.5771215954474903,0.18573929024387764
S00_2class,session_0,36,0,2-class,2.8467762814202584,0.5587037477081166,0.1979967890135592
S00_2class,session_0,37,0,2-class,2.769696006259716,0.5522041629931336,0.18412709067145855
S00_2class,session_0,38,0,2-class,2.842886369159564,0.559705960698824,0.1868686629943503
S00_2class,session_0,39,0,2-class,3.1856524231782397,0.5376704057853177,0.18873823512757107
S00_2class,session_0,40,1,2-class,2.79661474038091,0.5650675959746521,0.1916185479139971
S00_2class,session_0,41,1,2-class,3.0157635982454565,0.5414953927298405,0.19191280832901875
S00_2class,session_0,42,1,2-class,2.6885149189922215,0.5535496457087,0.19384845015010754
S00_2class,session_0,43,1,2-class,2.887892778524189,0.5542571208107825,0.20161181459174832
S00_2class,session_0,44,1,2-class,2.9911227900463646,0.5425852626764239,0.1808859407379802
S00_2class,session_0,45,1,2-class,2.99885463100875,0.5575708913410875,0.18999763744239145
S00_2class,session_0,46,1,2-class,2.7730485151489304,0.539792498063291,0.18759473238120744
S00_2class,session_0,47,1,2-class,3.0410787558388863,0.5609801481088361,0.18744293346249669
S00_2class,session_0,48,1,2-class,2.9890711140889348,0.5607622191290129,0.1885294284378541
S00_2class,session_0,49,1,2-class,2.8174604469800997,0.5480926063038781,0.18238298062166858
S00_2class,session_0,50,1,2-class,2.9506422440656284,0.5473845617769622,0.1823447467264666
S00_2class,session_0,51,1,2-class,2.938401641370146,0.5391391239931155,0.18533298372380386
S00_2class,session_0,52,1,2-class,2.839469473807127,0.5030042534901251,0.18366046535969624
S00_2class,session_0,53,1,2-class,2.821003583634324,0.5327344429350909,0.1833625757901149
S00_2class,session_0,54,1,2-class,2.8623626899379198,0.5825819493207649,0.19071708783538818
S00_2class,session_0,55,1,2-class,2.674550806913837,0.539002830625387,0.18565064430463735
S00_2class,session_0,56,1,2-class,2.8493954557215684,0.549337529392679,0.18262543054636307
S00_2class,session_0,57,1,2-class,2.8559566608654188,0.5393807619532813,0.18509122946131254
S00_2class,session_0,58,1,2-class,2.8131955449304726,0.5446413296402117,0.1908068253784677
S00_2class,session_0,59,1,2-class,2.8950507376294925,0.5583250862655107,0.18287408439214908
S00_2class,session_0,60,1,2-class,2.800139261615746,0.5390120303624973,0.19035245792251182
S00_2class,session_0,61,1,2-class,2.949262153774219,0.5691012663646594,0.19252732396398717
S00_2class,session_0,62,1,2-class,2.819759274271972,0.539869296382678,0.18667633598701958
S00_2class,session_0,63,1,2-class,2.9701171699825415,0.5418256202547216,0.18063568644813027
S00_2class,session_0,64,1,2-class,2.959912128954376,0.5244518191430882,0.17814560794344747
S00_2class,session_0,65,1,2-class,2.908608935407325,0.5554794589745247,0.1851294156218636
S00_2class,session_0,66,1,2-class,2.9718538843717557,0.562794319204868,0.18215991501687398
S00_2class,session_0,67,1,2-class,2.867469553755277,0.5624022041044383,0.19046965842129443
S00_2class,session_0,68,1,2-class,2.829374271809299,0.5590641583655376,0.19070802302567394
S00_2class,session_0,69,1,2-class,2.813608492752057,0.5489222796672188,0.18624652616733636
S00_2class,session_0,70,1,2-class,2.81580292224964,0.5336252968288508,0.19228001529326835
S00_2class,session_0,71,1,2-class,2.958709784860746,0.5915023884424595,0.1934697433882907
S00_2class,session_0,72,1,2-class,3.0537900013433354,0.5359140476000631,0.19389557735079363
S00_2class,session_0,73,1,2-class,2.9357173845990827,0.5484165383541922,0.19300412310342033
S00_2class,session_0,74,1,2-class,3.03367220604723,0.5590803338629996,0.18262301932781083
